last_name,first_name,guaranteed_compensation
Dempsey,Clint,5038566
Henry,Thierry,4350000
Keane,Robbie,4333333
Cahill,Tim,3625000
Donovan,Landon,2500000
Di Vaio,Marco,1937508
Martins,Obafemi,1725000
Koevermans,Danny,1663323
Miller,Kenny,1124992
Montero,Fredy,856000
