last_name,first_name,guaranteed_compensation
Beckham,David,6500000
Blanco,Cuauhtemoc,2666778
Gallardo,Marcelo,1874006
Angel,Juan Pablo,1593750
Donovan,Landon,900000
Lopez,Claudio,820000
Emilio,Luciano,758857
Ruiz,Carlos,460000
Gomez,Christian,430000
Davino,Dulio,400000
