last_name,first_name,guaranteed_compensation
Henry,Thierry,5600000
Marquez,Rafael,4600000
Beckham,David,3999999
Cahill,Tim,3624999
Keane,Robbie,3417242
Frings,Torsten,2413666
Donovan,Landon,2400000
Di Vaio,Marco,1937508
de Guzman,Julian,1910746
Koevermans,Danny,1563323
