last_name,first_name,guaranteed_compensation
Beckham,David,6500000
Henry,Thierry,5600000
Marquez,Rafael,5544000
Donovan,Landon,2127777
Angel,Juan Pablo,1918000
Castillo,Nery,1788060
de Guzman,Julian,1717546
Ljungberg,Fredrik,1314000
Martinez,"Miguel ""Mista""",987337
Boskovic,Branko,516200
