last_name,first_name,guaranteed_compensation
Beckham,David,6500000
Blanco,Cuauhtemoc,2666778
Angel,Juan Pablo,1593750
Reyna,Claudio,1250008
Donovan,Landon,900000
De Oliveira,Denilson,879936
Johnson,Eddie,875000
Ruiz,Carlos,435000
Mathis,Clint,410000
Twellman,Taylor,350008
