last_name,first_name,guaranteed_compensation
Beckham,David,6500000
Blanco,Cuauhtemoc,2943702
Angel,Juan Pablo,1798000
Ljungberg,Fredrik,1314000
de Guzman,Julian,956350
Donovan,Landon,900000
Schelotto,Guillermo Barros,775000
Emilio,Luciano,758857
Joseph,Shalrie,450000
DeRosario,Dwayne,425750
