last_name,first_name,guaranteed_compensation
Beckham,David,6500000
Henry,Thierry,5600000
Marquez,Rafael,4600000
Keane,Robbie,3417243
Donovan,Landon,2300000
de Guzman,Julian,1910746
Koevermans,Danny,1413319
Angel,Juan Pablo,1250000
Frings,Torsten,1113662
Hassli,Eric,900000
