last_name,first_name,guaranteed_compensation
Kaka,,7167500
Dempsey,Clint,6695188
Bradley,Michael,6500000
Defoe,Jermain,6180000
Donovan,Landon,4583333
Keane,Robbie,4500000
Henry,Thierry,4350000
Cahill,Tim,3625000
Jones,Jermaine,3252500
Di Vaio,Marco,2600000
